Character,Line
Leslie Knope,Is that too much to ask?
Leslie Knope,No.
Leslie Knope,It's over.
Leslie Knope,They won.
Leslie Knope,Everything is changing.
Leslie Knope,This town is gonna be unrecognizable in 10 years.
Leslie Knope,Even JJ's Diner is disappearing.
Leslie Knope,However many waffles it takes to keep you in business.
Leslie Knope,I'm happy with some of the changes that Pawnee has gone through.
Leslie Knope,"I mean, the standard of living is up, we have pressed juice bars, and yoga studios, and a pet hotel."
Leslie Knope,But I think the town is losing some of its charm.
Leslie Knope,And there's too much kale now.
Leslie Knope,One place asked me if I wanted kale in my milkshake.
Leslie Knope,"My milkshake, you guys."
Leslie Knope,No.
Leslie Knope,Enough is enough.
Leslie Knope,"They may have taken that land, but I will be damned if they take my waffles."
Leslie Knope,JJ.
Leslie Knope,"No, nothing is ever wrong here."
Leslie Knope,That's why we are gonna fight hard to save your diner.
Leslie Knope,The cologne guy?
Leslie Knope,"Ugh, figures."
Leslie Knope,That guy is the worst.
Leslie Knope,Okay.
Leslie Knope,We are gonna take him down with an old fashioned public rally.
Leslie Knope,"April, I need you to get the word out, with whatever method of communication young people are using these days."
Leslie Knope,"Andy, you thinking what I'm thinking?"
Leslie Knope,No.
Leslie Knope,I think this is a job for Jonathan Karate.
Leslie Knope,"Ron, what do you say?"
Leslie Knope,Dynamic duo get together one more time to try to save JJ's Diner?
Leslie Knope,"Hear, hear."
Leslie Knope,"Oh, well."
Leslie Knope,"Well, we'll keep practicing."
Leslie Knope,"All right, everybody, listen up."
Leslie Knope,We're here today because JJ's Diner has been a part of Pawnee for 41 years.
Leslie Knope,"And this man, right here, built that diner from the ground up, with his own two hands."
Leslie Knope,"It's called ""constructing a narrative,"" JJ."
Leslie Knope,"You stick to the breakfast, I'll deal with the politics."
Leslie Knope,"So, now, let's hear from a man who knows the value of things staying the same."
Leslie Knope,Ron Swanson.
Leslie Knope,What do we want?
Leslie Knope,When do we want it?
Leslie Knope,We can't bulldoze our entire history.
Leslie Knope,We need to preserve the things that make Pawnee great.
Leslie Knope,Like JJ's Diner.
Leslie Knope,"Oh, speak of the devil."
Leslie Knope,"Ladies and gentlemen, the devil, Dennis Feinstein."
Leslie Knope,Yeah!
Leslie Knope,"I am sorry, JJ, that I gave you false hope."
Leslie Knope,"This is a lost cause, just like my stupid park."
Leslie Knope,"Okay, I love your energy, Andy, but it's not gonna help us keep JJ's where it is."
Leslie Knope,Great!
Leslie Knope,I'm in.
Leslie Knope,Anything to get away from this cologne smell.
Leslie Knope,"Welcome to Beachview Terrace, the sad, unsalvageable, broken down armpit of Pawnee."
Leslie Knope,"Councilman Dexhart represents this district, and 10 years ago, when he was elected, he promised to clean it up."
Leslie Knope,"Instead, he just gave it a fancy new name, Beachview Terrace."
Leslie Knope,A more accurate name for this place?
Leslie Knope,Medical Waste Butt Sweat Grove.
Leslie Knope,Are you thinkingâ¦
Leslie Knope,But how would we... PR.
Leslie Knope,Yes.
Leslie Knope,Right.
Leslie Knope,"Okay, good."
Leslie Knope,"Guys, we have about five days to do three months' worth of work, but if we pull it off, we can rescue JJ's Diner, we can establish a new national park, and we can save Pawnee forever."
Leslie Knope,Who's in?
Leslie Knope,"Oh, my God."
Leslie Knope,Where'd you come from?
Leslie Knope,"Well, we just wanted to introduce you to the new home of the Gryzzl campus."
Leslie Knope,"Whereas here at Beachview Terrace, you can take over five entire square blocks of historic Pawnee."
Leslie Knope,Here's a far-out idea that just came to the top of my brainium.
Leslie Knope,Why don't you donate that land to the National Park Service?
Leslie Knope,That would be pretty dope.
Leslie Knope,And you could get some baller tax breaks that could help you with that mad stank construction cost.
Leslie Knope,I don't know.
Leslie Knope,"I'm sorry, I can't."
Leslie Knope,I can't say these wordsâ¦
Leslie Knope,"I mean, look, we are glad that you picked Pawnee, but if you're gonna set up shop here, you need to make a covenant with the city."
Leslie Knope,Show people that you're invested in this town.
Leslie Knope,"Start by cleaning up one part of Pawnee, and preserving the other."
Leslie Knope,"I don't know, Ron."
Leslie Knope,"I mean, it's been a week."
Leslie Knope,It might not work.
Leslie Knope,"But what if it doesn't? What if we did all that research and handed Gryzzl a fully-formed plan to revitalize an entire neighborhood and build a new national park, and their board still says no?"
Leslie Knope,What makes you so confident?
Leslie Knope,You jerk.
Leslie Knope,You sat on that news and let me stew here for three hours?
Leslie Knope,You jerk! We did it! You jerk.
Leslie Knope,We did it!
Leslie Knope,Don't care.
Leslie Knope,"Okay, monsters."
Leslie Knope,Mommy and Daddy have to pack because we're going to a hotel.
Leslie Knope,But Roz is going to stay here with you.
Leslie Knope,She's fading.
Leslie Knope,"Roz, Roz."
Leslie Knope,Hey.
Leslie Knope,Hey.
Leslie Knope,You are a wonderful nanny.
Leslie Knope,You're tough and strong.
Leslie Knope,And you're an excellent caretaker for our children.
Leslie Knope,I love you more than Ben.
Leslie Knope,I do.
Leslie Knope,"If Ben left me, I would be sad but I would get through it."
Leslie Knope,But if you left me I would never recover.
Leslie Knope,Jen Barkley is calling again.
Leslie Knope,She's relentless.
Leslie Knope,"She'll just say what she always says, which is, ""Leslie, would you consider running for state Senate or Congress?"""
Leslie Knope,"And I'll say, ""Jen, thank you very much, that's very flattering but I love my job and I get to do it for the entire country."""
Leslie Knope,The whole world is my park.
Leslie Knope,"Besides, our lives are so chaotic, we can't run a campaign."
Leslie Knope,"It's been three years, we deserve one night away together."
Leslie Knope,A little down time.
Leslie Knope,A little privacy.
Leslie Knope,Maybe we make some more kids?
Leslie Knope,"Let's just make, like, three more so that each one of them can have a friend."
Leslie Knope,Jen?
Leslie Knope,What are you doing here?
Leslie Knope,"Jen, thank you so much for coming but we have to go."
Leslie Knope,I have never been late for an event that requires an RSVP.
Leslie Knope,"Jen, I told you."
Leslie Knope,I have a dream job.
Leslie Knope,I don't want to --
Leslie Knope,"So, you're thinking about Jen's offer?"
Leslie Knope,Okay.
Leslie Knope,Try this.
Leslie Knope,"Tonight, just act like you've decided to run."
Leslie Knope,"And then tomorrow, at the wedding, act like you've decided not to run."
Leslie Knope,See which one feels better.
Leslie Knope,Ben has to run.
Leslie Knope,I don't want to push it because it might backfire but he has to run.
Leslie Knope,He would be good for America.
Leslie Knope,Good for the world.
Leslie Knope,Ben should be the Royal Archduke Sultan Emperor of all inhabitable lands on Earth.
Leslie Knope,I'm completely neutral.
Leslie Knope,I will support you no matter what you do.
Leslie Knope,Okay.
Leslie Knope,"Starting now, you're in campaign mode."
Leslie Knope,"So first up, meet and greet."
Leslie Knope,"You remember how this goes, right?"
Leslie Knope,Your goal is to act like everyone is interesting and important.
Leslie Knope,Nope.
Leslie Knope,Too hard.
Leslie Knope,Let's try someone else.
Leslie Knope,Oh!
Leslie Knope,"Here's Donna's parents, okay?"
Leslie Knope,Okay.
Leslie Knope,Work your magic.
Leslie Knope,"Babe, you are killing it."
Leslie Knope,Yes.
Leslie Knope,Yeah.
Leslie Knope,I am too.
Leslie Knope,"Ever since we had our kids, it only takes, like, one sip of wine."
Leslie Knope,You know what you should do?
Leslie Knope,You should give a toast.
Leslie Knope,"Because if you were running for Congress, you have to give speeches, right?"
Leslie Knope,"Toast it, baby."
Leslie Knope,Roast it and toast it till it's brown on both sides!
Leslie Knope,Whoo!
Leslie Knope,He's talkin' about me.
Leslie Knope,Yeah.
Leslie Knope,"Yeah, mine's filled with concrete."
Leslie Knope,"Okay, so... Yesterday, you pretended you were going to run."
Leslie Knope,"Today, you're going to pretend like you're not going to run."
Leslie Knope,"Yeah, we did."
Leslie Knope,I also called 867-5309 100 times.
Leslie Knope,Bad.
Leslie Knope,What do we do?
Leslie Knope,"Hey, Jen."
Leslie Knope,8675309
Leslie Knope,"Jenny, I got your number-- Hey, babe, it's ringing!"
Leslie Knope,"Honey, you were a lot more lucid than I was."
Leslie Knope,"No, we weren't--"
Leslie Knope,"Oh, my God!"
Leslie Knope,Oh!
Leslie Knope,Look at how beautiful you look.
Leslie Knope,But you're going to be very soon.
Leslie Knope,Wow.
Leslie Knope,What a complicated tapestry that is.
Leslie Knope,"Hey, Roz."
Leslie Knope,"Okay, we have the zebras."
Leslie Knope,"Tell the kids not to worry, they're coming back home."
Leslie Knope,"Also, we want to give you a raise."
Leslie Knope,And anything you want to take from our house.
Leslie Knope,Okay.
Leslie Knope,Bye.
Leslie Knope,"I told you, I'm neutral."
Leslie Knope,"Yes, I think they should all be bigger."
Leslie Knope,"Okay, fine."
Leslie Knope,I think you should run.
Leslie Knope,"Yes, our lives are bonkers but if something is worth it, and I think this is, then you just make it work."
Leslie Knope,"Besides, I just read an article on two minute micro-naps and the science on them is very promising."
Leslie Knope,"My God, babe, that was so hot."
Leslie Knope,Okay.
Leslie Knope,"So, the central question that these senators are going to be asking is why should we invest in the National Park Service?"
Leslie Knope,April.
Leslie Knope,"I know you're kidding, but I also know that you're prepared, and we are going to do great."
Leslie Knope,How psyched are you about this trip?
Leslie Knope,"April, are you super psyched?"
Leslie Knope,I do?
Leslie Knope,Okay.
Leslie Knope,Good looking out.
Leslie Knope,We're a great team.
Leslie Knope,What?
Leslie Knope,Why?
Leslie Knope,On what grounds?
Leslie Knope,Those-- those fonts are perfect.
Leslie Knope,It's readable and compact.
Leslie Knope,It's all on one page.
Leslie Knope,That's insane.
Leslie Knope,Don't mess with that.
Leslie Knope,"I appreciate your initiative, but itineraries are not the right place to mess around."
Leslie Knope,Okay.
Leslie Knope,"Carryon bags packed, trashy magazines purchased, boarding passes in hand, and we have 26 minutes for unstructured chat time."
Leslie Knope,What do you want to talk about?
Leslie Knope,I thought maybe we could talk about your future.
Leslie Knope,You want to talk about your future?
Leslie Knope,"Yeah, I figured."
Leslie Knope,It's hard at your age to figure out your path.
Leslie Knope,Yeah.
Leslie Knope,"I was going to surprise you with this in Washington, but what the heck."
Leslie Knope,It's unstructured chat time.
Leslie Knope,So Tada!
Leslie Knope,"This is your clear, definitive path through the federal government."
Leslie Knope,It starts here today with this flight and it goes all the way to 2022.
Leslie Knope,"Cool, right?"
Leslie Knope,"I had to make some guesses about your ultimate government objectives and your fashion choices, etcetera."
Leslie Knope,"But the point is, with this, you don't have to worry."
Leslie Knope,"Yeah, I know."
Leslie Knope,Gov Buds for Life?
Leslie Knope,"Just a little fun I was having, you know?"
Leslie Knope,I didn't really make the shirts.
Leslie Knope,"Yes, I did."
Leslie Knope,Tada!
Leslie Knope,April!
Leslie Knope,Group One is boarding.
Leslie Knope,Copy that.
Leslie Knope,"April, when Randy brings up the river project, that is your cue toâ¦"
Leslie Knope,Yeah.
Leslie Knope,It's just April.
Leslie Knope,Trust me.
Leslie Knope,"Well, I think it's the only move, Senator Boxer."
Leslie Knope,I don't think this chance is going to come around again.
Leslie Knope,"Well, I have another great idea."
Leslie Knope,"How about you and me, April, Randy, ""Historical Lampposts of D.C."" walking tour?"
Leslie Knope,Starts in 15 minutes.
Leslie Knope,Can we come?
Leslie Knope,"Thank you, Senator Gillibrand."
Leslie Knope,We really appreciate your support.
Leslie Knope,Would you mind signing a copy of your book?
Leslie Knope,I took the liberty of writing the inscription.
Leslie Knope,All you have to do is sign.
Leslie Knope,And there's room for a P.S. If you feel there's more you left out.
Leslie Knope,Okay.
Leslie Knope,"Hello, Senator."
Leslie Knope,Do you have a minute to chat?
Leslie Knope,"Well, you Actually, I checked with your staff, and they said that you have a free half hour."
Leslie Knope,Yes.
Leslie Knope,Every month of my life since fourth grade.
Leslie Knope,"Now, let's talk about National Parks."
Leslie Knope,"Well, I just have to say I'm very surprised that the two of you are seeing eye to eye on this one."
Leslie Knope,What?
Leslie Knope,I do get it.
Leslie Knope,Okay.
Leslie Knope,"So, five yeses and four noes."
Leslie Knope,Not a bad start.
Leslie Knope,"Oh, really?"
Leslie Knope,Old Norbs is stepping down.
Leslie Knope,"Couldn't handle the pressure, huh?"
Leslie Knope,What a wuss.
Leslie Knope,Oh!
Leslie Knope,"Oh, okay."
Leslie Knope,Okay.
Leslie Knope,I feel bad about what I said before.
Leslie Knope,Wow.
Leslie Knope,I have to enroll in SESCDP?
Leslie Knope,Forty four weeks of intensive courses and notetaking?
Leslie Knope,"Um, it's a dream come true."
Leslie Knope,A confirmation hearing?
Leslie Knope,A freaking confirmation hearing?
Leslie Knope,Excuse me a second.
Leslie Knope,What's that?
Leslie Knope,Mmmhmm.
Leslie Knope,Mmmhmm.
Leslie Knope,"To the best of my recollection, yes, I accept the job."
Leslie Knope,Oh!
Leslie Knope,"Excuse me, ma'am."
Leslie Knope,Do you mind if I borrow your hat?
Leslie Knope,I just want to throw it up in the air victoriously.
Leslie Knope,Ma'am?
Leslie Knope,"Look around, April."
Leslie Knope,What do you see?
Leslie Knope,I see a new home.
Leslie Knope,"I am going to take that job, Ben's going to run for Congress, he will win eventually, and then we're going to split our time between Washington and Pawnee."
Leslie Knope,"For us, April."
Leslie Knope,For us.
Leslie Knope,"No, they put that in in the '70s."
Leslie Knope,"Look, I am so ahead of my five year plan."
Leslie Knope,Which means that you're going to need a new five year plan.
Leslie Knope,And here it is.
Leslie Knope,I keep a local bindermaker on retainer in D.C.
Leslie Knope,We are about to embark on such an amazing journey.
Leslie Knope,"This is going to be our city, and this is going to be our bench."
Leslie Knope,"April, we have a bench in D.C."
Leslie Knope,What are you talking about?
Leslie Knope,You quit?
Leslie Knope,Why?
Leslie Knope,Ben who?
Leslie Knope,Ben Wyatt?
Leslie Knope,He's been helping you behind my back?
Leslie Knope,Wow.
Leslie Knope,Okay.
Leslie Knope,"Well, you know what?"
Leslie Knope,We had a good run.
Leslie Knope,But he's dead to me now.
Leslie Knope,I cannot believe you're quitting.
Leslie Knope,And I cannot believe this is the first time I'm hearing it.
Leslie Knope,"And on our bench, of all places."
Leslie Knope,It's just so frustrating.
Leslie Knope,"I love her, but you spend so much time and effort on someone's life and she's just going to quit on me?"
Leslie Knope,"It's like, what's the point, you know?"
Leslie Knope,Yeah.
Leslie Knope,Five.
Leslie Knope,"Well, eight if you count all those times I showed up unannounced at your office with mini muffins."
Leslie Knope,"Well, because when I knew I would be coming to Washington to work, I wore you down until you agreed to become my friend."
Leslie Knope,Name one time I've done that.
Leslie Knope,"You're right, once again, Madeleine Albright."
Leslie Knope,Oh!
Leslie Knope,"Oh, yeah, sorry."
Leslie Knope,Thank you for letting me wear it.
Leslie Knope,It just makes me feel very powerful.
Leslie Knope,Hey.
Leslie Knope,Thank you for coming.
Leslie Knope,I'm sorry I blew up at you yesterday.
Leslie Knope,"I really want all of my friends to be happy together, but more importantly, I just want them to be happy."
Leslie Knope,"If you feel like you need to move on, I totally get it."
Leslie Knope,What? Why?
Leslie Knope,Okay.
Leslie Knope,April.
Leslie Knope,I know.
Leslie Knope,I know you do.
Leslie Knope,I know.
Leslie Knope,"Thank you, April."
Leslie Knope,"So, you don't have any idea what you want to do?"
Leslie Knope,"Well, here's the good news."
Leslie Knope,I am on the case.
Leslie Knope,I know some people who might be able to help us.
Leslie Knope,Come on.
Leslie Knope,"April, this is Alyssa, from the American Service Foundation."
Leslie Knope,"They take young people like you who are trying to explore a new path, and match them with one of the thousands of jobs across America that help communities."
Leslie Knope,"Alyssa, this is April Ludgate, the single greatest human being ever, and you need to find her a job that she will love and cherish and make her life feel complete."
Leslie Knope,They contacted us last year because they wanted to place some people in National Parks.
Leslie Knope,Not my best work.
Leslie Knope,"Plus, you changed your hair."
Leslie Knope,I'm going to send you another one.
Leslie Knope,Okay.
Leslie Knope,Go solve all of your career problems.
Leslie Knope,I'll wait right here.
Leslie Knope,That a girl.
Leslie Knope,"I don't know, Madeleine."
Leslie Knope,"They're taking forever, and I'm starting to lose it."
Leslie Knope,"Talk to me, okay? Your voice makes me calm."
Leslie Knope,Tell me another Yeltsin story.
Leslie Knope,"Okay, she's here."
Leslie Knope,I have to go.
Leslie Knope,Bye.
Leslie Knope,Say hi to your daughters.
Leslie Knope,Hey.
Leslie Knope,Hi.
Leslie Knope,How did it go?
Leslie Knope,Yes.
Leslie Knope,Is it Teach for America? No.
Leslie Knope,Habitat for Humanity? No.
Leslie Knope,It's working with animals.
Leslie Knope,No.
Leslie Knope,"I am 100,000% in support of this idea."
Leslie Knope,This is an amazing idea.
Leslie Knope,I love this idea.
Leslie Knope,And I love you.
Leslie Knope,"So, are they hiring? What did Alyssa say when you told her?"
Leslie Knope,You wanted to run something by me?
Leslie Knope,"April, you don't need me."
Leslie Knope,You can get any job you want all by yourself.
Leslie Knope,"Obviously, I'm going to vet your resume and we'll hold some mock-interviews and I'll choose your outfit and everything."
Leslie Knope,But you can get this sucker on your own.
Leslie Knope,"Ooh, shop talk."
Leslie Knope,"One of my five favorite types of talk, along with pillow, girl, real, and TED."
Leslie Knope,"Oh, really?"
Leslie Knope,We have to skip that?
Leslie Knope,I love watching those squashes fly through the air.
Leslie Knope,"Me, too."
Leslie Knope,"Me, Leslie?"
Leslie Knope,"Well, I was an actual candidate, so I think I can handle being a candidate's wife."
Leslie Knope,I know all the issues inside and out.
Leslie Knope,I think you're underestimating the voters.
Leslie Knope,"Stephen, be careful."
Leslie Knope,"The Pie Mary is a Southern Indiana tradition, where Congressional candidates' wives face off in a pie baking contest."
Leslie Knope,The last contest's winner was June Hartwell's buttermilk meringue.
Leslie Knope,Last contest's loser was all women.
Leslie Knope,We're-- I'm not making any kind of statement.
Leslie Knope,"We're just focusing on bigger issues, like Ben's 150 million dollar revitalization project."
Leslie Knope,What are you talking about?
Leslie Knope,I'm standing right here in front of you.
Leslie Knope,None of your business.
Leslie Knope,And thank you for noticing.
Leslie Knope,"Well, it only took three hours for Jen to be right."
Leslie Knope,I'm officially a distraction.
Leslie Knope,I'm gonna enter that Pie Mary.
Leslie Knope,"But the more they talk about this, the less they're gonna talk about your economic plan."
Leslie Knope,"Besides, I'm good at making pies, so I'll win and then I can promote my self-published women's rights barbecue cookbook The Feminine Mesquite."
Leslie Knope,Everything's fine.
Leslie Knope,"Okay, snacks given, kids tucked in, books read, three simultaneous meltdowns for no reason, kids tucked back in, one of them briefly got outside somehow, kids back in bed, they're all napping."
Leslie Knope,You know me so well.
Leslie Knope,That might be one of the kids.
Leslie Knope,"Oh, my goodness, Elise."
Leslie Knope,"Please, come in."
Leslie Knope,Wait.
Leslie Knope,Are you here to give me the Woman of the Year award?
Leslie Knope,I have a speech prepared.
Leslie Knope,Would you like to see it?
Leslie Knope,Right now?
Leslie Knope,"Yeah, well, I agree that it's dumb."
Leslie Knope,"But this is not about me, it's about Ben, and he will do more for women than Hartwell."
Leslie Knope,"So, you know, lose a battle, win the war."
Leslie Knope,That kind of thing.
Leslie Knope,It's the way to go.
Leslie Knope,Elise.
Leslie Knope,There is no bigger defender of gender equality than Leslie Knope.
Leslie Knope,"And my husband, Ben, is a progressive champion of women's rights."
Leslie Knope,The IOW does not mess around.
Leslie Knope,"Which normally is why I love them, but now I'm on the other side."
Leslie Knope,"Oh, my God, Ben, I gave them 100 dollars in their annual pledge."
Leslie Knope,Do you know how many anti-me signs that could buy?
Leslie Knope,Then we're just back where we started.
Leslie Knope,Then it just seems like I'm saying I'm better than the women who bake.
Leslie Knope,What should we do?
Leslie Knope,Should we get a divorce?
Leslie Knope,"Oh, that could work."
Leslie Knope,"We sidestep the controversy, we refocus the campaign onto the actual candidate."
Leslie Knope,And then we flip the antiquated tradition right on its head.
Leslie Knope,"I feel like that's not more important, but I like the energy that we have, so let's hear it."
Leslie Knope,A pie.
Leslie Knope,Oh.
Leslie Knope,Sure!
Leslie Knope,You're amazing.
Leslie Knope,"Of course you can, baby."
Leslie Knope,Get in there and start baking.
Leslie Knope,"Oh, yeah."
Leslie Knope,We're good.
Leslie Knope,The IOW is not gonna protest us.
Leslie Knope,How's your pie?
Leslie Knope,Okay.
Leslie Knope,How is your dessert calzone?
Leslie Knope,I'm sorry.
Leslie Knope,What's happening now?
Leslie Knope,Excuse me!
Leslie Knope,I'm not forcing him to do anything!
Leslie Knope,He loves to cook.
Leslie Knope,Yeah.
Leslie Knope,He has five personalized aprons.
Leslie Knope,Oh.
Leslie Knope,What?
Leslie Knope,"Hello, everyone."
Leslie Knope,Thank you.
Leslie Knope,Wow.
Leslie Knope,How about this weather we're having?
Leslie Knope,Very temperate.
Leslie Knope,Okay.
Leslie Knope,"Recently, I made an attempt to--"
Leslie Knope,"Thank you, Ben."
Leslie Knope,Well.
Leslie Knope,The first thing I'm gonna do is say sorry.
Leslie Knope,"I'm sorry that the spotlight is on me and not on Ben, because he is going to make a great congressman."
Leslie Knope,"Second, the Male Men. Where are you? Ah."
Leslie Knope,"You're ridiculous, and men's rights is nothing."
Leslie Knope,"Third, I'm now gonna give you permanent answers to all the silly questions that you're gonna end up asking me, and every other woman in this election, over the next few months."
Leslie Knope,"""Why did I change my hairstyle?"" Oh, I don't know."
Leslie Knope,I just thought it would look better.
Leslie Knope,Or my kids got gum in it.
Leslie Knope,"""Are you trying to have it all?"" That question makes no sense."
Leslie Knope,It's a stupid question.
Leslie Knope,Stop asking it.
Leslie Knope,Don't ask it.
Leslie Knope,"""Do you miss your kids while you're at work?"" Yes, of course I do."
Leslie Knope,Everybody does.
Leslie Knope,"And then, you know, sometimes I don't."
Leslie Knope,"My mom, babe."
Leslie Knope,Everything's fine.
Leslie Knope,That's right.
Leslie Knope,"If you wanna bake a pie, that's great."
Leslie Knope,"If you wanna have a career, that's great, too."
Leslie Knope,"Do both, or neither, it doesn't matter."
Leslie Knope,Just don't judge what someone else has decided to do.
Leslie Knope,We're all just trying to find the right path for us.
Leslie Knope,As individuals.
Leslie Knope,On this Earth.
Leslie Knope,Yeah.
Leslie Knope,That seems about right.
Leslie Knope,He just spoke.
Leslie Knope,What did I do wrong now?
Leslie Knope,Really?
Leslie Knope,Son of a bitch.
Leslie Knope,Okay.
Leslie Knope,Thank you.
Leslie Knope,Yeah.
Leslie Knope,I needed all eleven disks of Gossip Girl at the same time.
Leslie Knope,"They give you a little wand, and a diploma."
Leslie Knope,It's fun.
Leslie Knope,Potions.
Leslie Knope,"You know, I'm gonna take you off speaker phone."
Leslie Knope,Go ahead.
Leslie Knope,No.
Leslie Knope,"Okay-- Um, I wore those once."
Leslie Knope,"It was a moneyback guarantee, but I forgot to return them."
Leslie Knope,"Man Pillow, the pillow shaped like a man?"
Leslie Knope,"Also something called ""Bucket of Cake."""
Leslie Knope,"Yeah, you know what?"
Leslie Knope,I think someone definitely stole my credit card.
Leslie Knope,So why don't you just cancel it?
Leslie Knope,"No, you don't have to refund anything."
Leslie Knope,Just cancel the credit card and we'll all go on with our lives.
Leslie Knope,Thank you.
Leslie Knope,Daniel Craig.
Leslie Knope,It's for my lower back.
Leslie Knope,"Well, we're here in Eagleton."
Leslie Knope,It's two towns over.
Leslie Knope,"And we're all volunteering for Kaboom, a service organization that says it builds a playground in a day."
Leslie Knope,I never trust anything that comes that quickly.
Leslie Knope,That's why I don't eat Minute Rice.
Leslie Knope,"So this whole ""build a playground in a day"" thing, I mean, that's just a slogan, right?"
Leslie Knope,"Keef, that is so incredible."
Leslie Knope,"I mean, I work in Parks, and I know how hard it is to get something done."
Leslie Knope,"One, two, three."
Leslie Knope,"Yeah, but just think of all the kids that'll swing on this swing: fat kids, skinny kids, brainiacs, sluts, the gay drama kids, goths, jocks, the alternative crowd."
Leslie Knope,Well.
Leslie Knope,You have been officially kaboomed.
Leslie Knope,Oh!
Leslie Knope,Thank you.
Leslie Knope,"No, I wish, but back to the real world."
Leslie Knope,"Oh, I'm so pumped."
Leslie Knope,Feel I could take on the world.
Leslie Knope,That's the spirit.
Leslie Knope,Hmm.
Leslie Knope,"Well, we are."
Leslie Knope,It's just a slow boom.
Leslie Knope,"A slower, more deliberate kaboom."
Leslie Knope,Okay.
Leslie Knope,You know what this mess is?
Leslie Knope,This is a list of things we have to complete before we fill in the pit behind Ann's house.
Leslie Knope,You know what this is?
Leslie Knope,This is a kaboomer.
Leslie Knope,"Jerry, did you use permanent marker again?"
Leslie Knope,This is a big--
Leslie Knope,"This is gonna open very big, Jerry."
Leslie Knope,Okay.
Leslie Knope,Forget it.
Leslie Knope,Let's all pretend Jerry wasn't born.
Leslie Knope,And this is clean.
Leslie Knope,How do we speed up the process?
Leslie Knope,How do we kaboom it?
Leslie Knope,"Rules, codes, permits, red tape."
Leslie Knope,I never realized how frustrating it is to be in the government.
Leslie Knope,"In my next life, I'm going into private industry."
Leslie Knope,Maybe strip mining.
Leslie Knope,"Okay, everybody take out their thinking caps and rip them up."
Leslie Knope,"Then take out your doing caps, 'cause we're gonna do something today."
Leslie Knope,"Come on, Tom."
Leslie Knope,"Focus, please."
Leslie Knope,How do we cut through the red tape and how do we get this pit filled in?
Leslie Knope,Ideas?
Leslie Knope,"Yes, Tom."
Leslie Knope,Good.
Leslie Knope,"Okay, everybody else needs to participate."
Leslie Knope,"Come on, guys."
Leslie Knope,These suggestions aren't gonna suggest themselves.
Leslie Knope,"Yes, Jerry."
Leslie Knope,This idea better be good.
Leslie Knope,Ann?
Leslie Knope,Good.
Leslie Knope,"Mark, buddy, you're not listening to me."
Leslie Knope,I want to kaboom it.
Leslie Knope,Okay?
Leslie Knope,Sure.
Leslie Knope,"Mark's gonna help me, so thanks for nothing, Jerry."
Leslie Knope,"Good job, Ann."
Leslie Knope,Yes.
Leslie Knope,"Mark, I am so sick of moving like a slug."
Leslie Knope,I want to move like a cheetah.
Leslie Knope,Or a slug driving a remote controlled car.
Leslie Knope,"Something more plausible than that, but fast."
Leslie Knope,I won't murder.
Leslie Knope,"Oh, I like that."
Leslie Knope,"Okay, wow."
Leslie Knope,So who gives me the go ahead to not ask for permission but ask for forgiveness?
Leslie Knope,Is it Ron?
Leslie Knope,Okay.
Leslie Knope,Hey.
Leslie Knope,"Say you had a friend who wanted to do something good, but a little risky, and she was kind of nervous about it, and this friend is me."
Leslie Knope,What should I do?
Leslie Knope,You'll help me?
Leslie Knope,Okay.
Leslie Knope,We're not gonna murder anyone.
Leslie Knope,It was crazy.
Leslie Knope,I didn't get a single permit.
Leslie Knope,Nobody stamped anything.
Leslie Knope,"All I did was order a backhoe, and it came with a guy who runs it."
Leslie Knope,I've never rented a guy before.
Leslie Knope,I wish I knew about that during prom.
Leslie Knope,I'm so excited we're doing this.
Leslie Knope,And we're doing it without permission.
Leslie Knope,We're giving ourselves permission.
Leslie Knope,"Look, I had these hard hats made."
Leslie Knope,Check it out.
Leslie Knope,"Kick, Ass."
Leslie Knope,Okay.
Leslie Knope,"Oh, my God, Ann, this is so cool."
Leslie Knope,Do you feel giddy?
Leslie Knope,I'm so proud of us.
Leslie Knope,"I didn't wanna tell him my real name, you know?"
Leslie Knope,Yeah.
Leslie Knope,"First, speech."
Leslie Knope,Is important moment here.
Leslie Knope,"We are about to fill this hole now, not with dirt, but with the courage of a thousand lions and the solemn memory of all of our friends who have fallen in this cursed hole."
Leslie Knope,Dump it!
Leslie Knope,"Oh, my God."
Leslie Knope,Oh!
Leslie Knope,"I'm sorry about Andy, but I'm not sorry about what I did."
Leslie Knope,What's my crime?
Leslie Knope,I got bold?
Leslie Knope,And a little negligent?
Leslie Knope,Hey.
Leslie Knope,Can I smoke in here?
Leslie Knope,Just asking if I can.
Leslie Knope,I'm high on kaboom.
Leslie Knope,"Don't ask for permission, ask for forgiveness."
Leslie Knope,"Ron, I'm so, so, so sorry."
Leslie Knope,It's awful what happened to Andy.
Leslie Knope,"But sometimes when you make an omelet, you got to break a few eggs."
Leslie Knope,What's the alternative?
Leslie Knope,No omelets at all?
Leslie Knope,Who wants to live in that kind of world?
Leslie Knope,Maybe birds.
Leslie Knope,Then all their babies would live.
Leslie Knope,"Hey, Scott."
Leslie Knope,I didn't know that you were friends with Andy.
Leslie Knope,Is that all you lawyers think about?
Leslie Knope,"Lawsuits, and laws and legalese?"
Leslie Knope,Yeah.
Leslie Knope,"Well, you can relax."
